colInd,toPredict,modelName,args,x,mae
"Residual Fuel Oil Electric Power Sector CO2 Emissions",0,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.0001}",4,1.80
"Natural Gas Electric Power Sector CO2 Emissions",0,LR,"{}",2,1.16
"Residual Fuel Oil Electric Power Sector CO2 Emissions",1,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.0001}",3,1.31
"Natural Gas Electric Power Sector CO2 Emissions",1,LR,"{}",1,1.59
"Residual Fuel Oil Electric Power Sector CO2 Emissions",2,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.001}",1,1.35
"Natural Gas Electric Power Sector CO2 Emissions",2,LR,"{}",1,1.88
"Residual Fuel Oil Electric Power Sector CO2 Emissions",3,SVM,"{'C': 2.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.0001}",3,0.84
"Natural Gas Electric Power Sector CO2 Emissions",3,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.0001}",6,1.81
"Residual Fuel Oil Electric Power Sector CO2 Emissions",4,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.0001}",3,1.11
"Natural Gas Electric Power Sector CO2 Emissions",4,RFR,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 125, 'random_state': 42}",6,2.55
"Residual Fuel Oil Electric Power Sector CO2 Emissions",5,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.0001}",4,1.12
"Natural Gas Electric Power Sector CO2 Emissions",5,LR,"{}",4,2.86
