colInd,toPredict,modelName,args,x,mae
"Coal Electric Power Sector CO2 Emissions",0,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",6,4.55
"Coal Electric Power Sector CO2 Emissions",1,LR,"{}",5,5.82
"Coal Electric Power Sector CO2 Emissions",2,LR,"{}",4,5.95
"Coal Electric Power Sector CO2 Emissions",3,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.4}",6,5.83
"Coal Electric Power Sector CO2 Emissions",4,LR,"{}",4,4.18
"Coal Electric Power Sector CO2 Emissions",5,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.8}",6,5.20
"Natural Gas Electric Power Sector CO2 Emissions",0,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,1.00
"Natural Gas Electric Power Sector CO2 Emissions",1,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,1.47
"Natural Gas Electric Power Sector CO2 Emissions",2,SVM,"{'C': 1.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.2}",5,1.64
"Natural Gas Electric Power Sector CO2 Emissions",3,SVM,"{'C': 1.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,1.59
"Natural Gas Electric Power Sector CO2 Emissions",4,SVM,"{'C': 1.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.2}",5,2.21
"Natural Gas Electric Power Sector CO2 Emissions",5,SVM,"{'C': 2.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",5,2.13
"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",0,SVM,"{'C': 2.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.2}",4,0.45
"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",1,SVM,"{'C': 1.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",5,0.27
"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",2,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",5,0.17
